         36061770 function calls (36025792 primitive calls) in 1282.828 seconds

   Ordered by: internal time
   List reduced from 6033 to 40 due to restriction <40>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       80  797.793    9.972  797.793    9.972 {method 'run_backward' of 'torch._C._EngineBase' objects}
   816000  101.275    0.000  183.707    0.000 /kaggle/working/HIERARCHICAL-ATTRACTOR-MACHINE-LEARNING/haml/dynamics/attractor.py:81(repulsion_force)
   816000   89.714    0.000  171.617    0.000 /kaggle/working/HIERARCHICAL-ATTRACTOR-MACHINE-LEARNING/haml/dynamics/attractor.py:62(attraction_force)
  4980344   62.282    0.000   62.282    0.000 {built-in method torch.exp}
  3284340   51.795    0.000   51.795    0.000 {method 'pow' of 'torch._C.TensorBase' objects}
    40800   45.487    0.001  405.313    0.010 /kaggle/working/HIERARCHICAL-ATTRACTOR-MACHINE-LEARNING/haml/dynamics/level.py:121(intra_level_force)
  1646760   29.732    0.000   29.732    0.000 {built-in method torch.sum}
        1   21.792   21.792 1248.421 1248.421 /kaggle/working/HIERARCHICAL-ATTRACTOR-MACHINE-LEARNING/haml/training/trainer.py:94(train)
  3284340   15.190    0.000   67.899    0.000 /usr/local/lib/python3.12/dist-packages/torch/_tensor.py:40(wrapped)
    38319   14.016    0.000   14.016    0.000 {method 'read' of '_ssl._SSLSocket' objects}
       80    4.543    0.057    4.543    0.057 {built-in method torch._C._group_tensors_by_device_and_dtype}
    48992    4.454    0.000    4.454    0.000 {method 'item' of 'torch._C.TensorBase' objects}
  6111285    3.714    0.000    3.714    0.000 /usr/local/lib/python3.12/dist-packages/torch/nn/modules/module.py:1952(__getattr__)
        1    3.008    3.008    4.029    4.029 /usr/local/lib/python3.12/dist-packages/pandas/io/parsers/c_parser_wrapper.py:222(read)
    54400    2.772    0.000    3.298    0.000 /kaggle/working/HIERARCHICAL-ATTRACTOR-MACHINE-LEARNING/haml/projection/spaces.py:127(project_up)
   109280    2.017    0.000    2.017    0.000 {built-in method torch.zeros_like}
     3400    1.964    0.001  418.226    0.123 /kaggle/working/HIERARCHICAL-ATTRACTOR-MACHINE-LEARNING/haml/dynamics/integrator.py:114(step_rk4)
  1637100    1.962    0.000   21.239    0.000 /kaggle/working/HIERARCHICAL-ATTRACTOR-MACHINE-LEARNING/haml/dynamics/attractor.py:57(weight)
    27372    1.186    0.000    1.400    0.000 /kaggle/working/HIERARCHICAL-ATTRACTOR-MACHINE-LEARNING/haml/projection/spaces.py:107(project_down)
    27200    1.176    0.000    4.911    0.000 /kaggle/working/HIERARCHICAL-ATTRACTOR-MACHINE-LEARNING/haml/dynamics/coupling.py:56(bottom_up_force)
      482    1.132    0.002    1.132    0.002 {built-in method builtins.compile}
       10    1.115    0.112    1.115    0.112 {method 'do_handshake' of '_ssl._SSLSocket' objects}
    20020    1.110    0.000    1.110    0.000 {method 'decompress' of 'zlib._ZlibDecompressor' objects}
        8    1.073    0.134    1.081    0.135 /usr/local/lib/python3.12/dist-packages/scipy/linalg/_decomp_lu.py:213(lu)
    13600    1.032    0.000  415.557    0.031 /kaggle/working/HIERARCHICAL-ATTRACTOR-MACHINE-LEARNING/haml/dynamics/integrator.py:55(compute_forces)
       10    1.028    0.103    1.028    0.103 {method 'connect' of '_socket.socket' objects}
    27200    0.964    0.000    2.900    0.000 /kaggle/working/HIERARCHICAL-ATTRACTOR-MACHINE-LEARNING/haml/dynamics/coupling.py:87(top_down_force)
   839580    0.927    0.000    1.576    0.000 /usr/local/lib/python3.12/dist-packages/torch/nn/modules/container.py:408(__iter__)
  3284340    0.913    0.000    0.913    0.000 {built-in method torch._C._has_torch_function}
   830700    0.890    0.000   12.467    0.000 /kaggle/working/HIERARCHICAL-ATTRACTOR-MACHINE-LEARNING/haml/dynamics/attractor.py:47(sigma)
   820800    0.855    0.000   12.163    0.000 /kaggle/working/HIERARCHICAL-ATTRACTOR-MACHINE-LEARNING/haml/dynamics/attractor.py:52(rho)
    40800    0.792    0.000    9.088    0.000 /kaggle/working/HIERARCHICAL-ATTRACTOR-MACHINE-LEARNING/haml/dynamics/coupling.py:142(total_force)
   217295    0.719    0.000    0.719    0.000 {method 'append' of 'list' objects}
    13600    0.699    0.000  416.257    0.031 /kaggle/working/HIERARCHICAL-ATTRACTOR-MACHINE-LEARNING/haml/dynamics/integrator.py:81(velocity_field)
       85    0.582    0.007  423.653    4.984 /kaggle/working/HIERARCHICAL-ATTRACTOR-MACHINE-LEARNING/haml/dynamics/integrator.py:147(integrate)
   825870    0.548    0.000    0.548    0.000 /usr/local/lib/python3.12/dist-packages/torch/nn/modules/container.py:553(__getitem__)
        1    0.529    0.529    1.809    1.809 /usr/local/lib/python3.12/dist-packages/sklearn/utils/extmath.py:215(randomized_range_finder)
        4    0.426    0.107    0.426    0.107 {built-in method _imp.create_dynamic}
     5100    0.425    0.000    0.887    0.000 /kaggle/working/HIERARCHICAL-ATTRACTOR-MACHINE-LEARNING/haml/dynamics/attractor.py:118(attraction_strength)
        4    0.400    0.100    0.400    0.100 {built-in method torch._C._linalg.linalg_matrix_norm}


