         35534765 function calls (35499193 primitive calls) in 1261.564 seconds

   Ordered by: cumulative time
   List reduced from 5787 to 40 due to restriction <40>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1   21.841   21.841 1246.485 1246.485 /kaggle/working/HIERARCHICAL-ATTRACTOR-MACHINE-LEARNING/haml/training/trainer.py:94(train)
       80    0.002    0.000  798.085    9.976 /usr/local/lib/python3.12/dist-packages/torch/_tensor.py:575(backward)
       80    0.002    0.000  798.082    9.976 /usr/local/lib/python3.12/dist-packages/torch/autograd/__init__.py:252(backward)
       80    0.001    0.000  798.065    9.976 /usr/local/lib/python3.12/dist-packages/torch/autograd/graph.py:856(_engine_run_backward)
       80  798.064    9.976  798.064    9.976 {method 'run_backward' of 'torch._C._EngineBase' objects}
       85    0.578    0.007  421.500    4.959 /kaggle/working/HIERARCHICAL-ATTRACTOR-MACHINE-LEARNING/haml/dynamics/integrator.py:147(integrate)
     3400    1.975    0.001  416.082    0.122 /kaggle/working/HIERARCHICAL-ATTRACTOR-MACHINE-LEARNING/haml/dynamics/integrator.py:114(step_rk4)
    13600    0.701    0.000  414.102    0.030 /kaggle/working/HIERARCHICAL-ATTRACTOR-MACHINE-LEARNING/haml/dynamics/integrator.py:81(velocity_field)
    13600    1.030    0.000  413.400    0.030 /kaggle/working/HIERARCHICAL-ATTRACTOR-MACHINE-LEARNING/haml/dynamics/integrator.py:55(compute_forces)
    40800   43.924    0.001  403.258    0.010 /kaggle/working/HIERARCHICAL-ATTRACTOR-MACHINE-LEARNING/haml/dynamics/level.py:121(intra_level_force)
   816000  100.519    0.000  183.045    0.000 /kaggle/working/HIERARCHICAL-ATTRACTOR-MACHINE-LEARNING/haml/dynamics/attractor.py:81(repulsion_force)
   816000   89.331    0.000  171.801    0.000 /kaggle/working/HIERARCHICAL-ATTRACTOR-MACHINE-LEARNING/haml/dynamics/attractor.py:62(attraction_force)
  3284340   15.869    0.000   68.889    0.000 /usr/local/lib/python3.12/dist-packages/torch/_tensor.py:40(wrapped)
  4980344   62.522    0.000   62.522    0.000 {built-in method torch.exp}
  3284340   52.080    0.000   52.080    0.000 {method 'pow' of 'torch._C.TensorBase' objects}
        5    0.000    0.000   45.414    9.083 /kaggle/working/HIERARCHICAL-ATTRACTOR-MACHINE-LEARNING/haml/model/haml.py:312(forward)
  1646760   29.103    0.000   29.103    0.000 {built-in method torch.sum}
        3    0.005    0.002   24.610    8.203 /kaggle/working/HIERARCHICAL-ATTRACTOR-MACHINE-LEARNING/haml/model/haml.py:330(predict)
  1637100    1.941    0.000   21.424    0.000 /kaggle/working/HIERARCHICAL-ATTRACTOR-MACHINE-LEARNING/haml/dynamics/attractor.py:57(weight)
        2    0.009    0.005   21.049   10.524 /kaggle/working/HIERARCHICAL-ATTRACTOR-MACHINE-LEARNING/haml/training/metrics.py:13(compute_level_accuracy)
    30/23    0.000    0.000   20.012    0.870 /usr/local/lib/python3.12/dist-packages/torch/_ops.py:349(fallthrough)
   830700    0.872    0.000   12.448    0.000 /kaggle/working/HIERARCHICAL-ATTRACTOR-MACHINE-LEARNING/haml/dynamics/attractor.py:47(sigma)
