         10668555 function calls (10580162 primitive calls) in 459.793 seconds

   Ordered by: cumulative time
   List reduced from 6342 to 40 due to restriction <40>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    1.364    1.364  449.451  449.451 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\training\trainer.py:98(train)
      421    2.303    0.005  280.963    0.667 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\dynamics\integrator.py:172(integrate)
    24460   14.383    0.001  261.664    0.011 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\dynamics\integrator.py:120(step_euler)
    24460    7.302    0.000  247.250    0.010 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\dynamics\integrator.py:106(velocity_field)
    24460    8.246    0.000  239.948    0.010 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\dynamics\integrator.py:80(compute_forces)
      400    0.003    0.000  163.261    0.408 C:\Python312\Lib\site-packages\torch\_tensor.py:592(backward)
      400    0.007    0.000  163.258    0.408 C:\Python312\Lib\site-packages\torch\autograd\__init__.py:243(backward)
      400    0.004    0.000  163.229    0.408 C:\Python312\Lib\site-packages\torch\autograd\graph.py:815(_engine_run_backward)
      400  163.224    0.408  163.224    0.408 {method 'run_backward' of 'torch._C._EngineBase' objects}
       21    0.000    0.000  144.003    6.857 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\model\haml.py:368(forward)
    73380   14.739    0.000  123.760    0.002 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\dynamics\level_vectorized.py:188(intra_level_force)
    73380    8.306    0.000  107.564    0.001 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\dynamics\coupling.py:142(total_force)
   146760   69.912    0.000  106.886    0.001 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\dynamics\level_vectorized.py:114(_flat_force)
       11    0.001    0.000   75.221    6.838 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\model\haml.py:386(predict)
       10    0.002    0.000   72.087    7.209 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\training\metrics.py:13(compute_level_accuracy)
    48920   10.238    0.000   58.892    0.001 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\dynamics\coupling.py:56(bottom_up_force)
    97840   47.249    0.000   48.042    0.000 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\projection\spaces.py:127(project_up)
    48920   12.890    0.000   38.079    0.001 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\dynamics\coupling.py:87(top_down_force)
    49764   24.512    0.000   24.884    0.001 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\projection\spaces.py:107(project_down)
    32/22    0.031    0.001   17.075    0.776 C:\Python312\Lib\site-packages\torch\_ops.py:316(fallthrough)
445540/445523    0.451    0.000   16.293    0.000 C:\Python312\Lib\site-packages\torch\_tensor.py:33(wrapped)
   445507   15.725    0.000   15.725    0.000 {method 'pow' of 'torch._C.TensorBase' objects}
    24460    9.705    0.000   15.719    0.001 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\dynamics\integrator.py:68(_compute_convergence_fraction)
   441843   13.542    0.000   13.542    0.000 {built-in method torch.sum}
   546713    8.543    0.000    8.543    0.000 {built-in method torch.exp}
    88056    0.877    0.000    5.927    0.000 C:\Python312\Lib\site-packages\torch\functional.py:1698(norm)
    88056    4.976    0.000    4.976    0.000 {built-in method torch._C._linalg.linalg_vector_norm}
1204/1203    0.002    0.000    4.643    0.004 C:\Users\fredm\AppData\Roaming\Python\Python312\site-packages\sklearn\utils\_param_validation.py:185(wrapper)
     1263    1.472    0.001    4.512    0.004 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\dynamics\level_vectorized.py:216(predict_class_scores)
        1    0.078    0.078    3.997    3.997 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\experiments\profile_training_runtime.py:46(load_fashion_mnist_subset)
        1    0.000    0.000    3.824    3.824 C:\Users\fredm\AppData\Roaming\Python\Python312\site-packages\sklearn\datasets\_openml.py:754(fetch_openml)
        5    0.000    0.000    3.823    0.765 C:\Users\fredm\AppData\Roaming\Python\Python312\site-packages\sklearn\datasets\_openml.py:62(wrapper)
        1    0.000    0.000    3.821    3.821 C:\Users\fredm\AppData\Roaming\Python\Python312\site-packages\sklearn\datasets\_openml.py:572(_download_data_to_bunch)
        1    0.012    0.012    3.821    3.821 C:\Users\fredm\AppData\Roaming\Python\Python312\site-packages\sklearn\datasets\_openml.py:436(_load_arff_response)
        1    0.000    0.000    3.032    3.032 C:\Users\fredm\AppData\Roaming\Python\Python312\site-packages\sklearn\datasets\_openml.py:534(_open_url_and_load_gzip_file)
        1    0.000    0.000    3.032    3.032 C:\Users\fredm\AppData\Roaming\Python\Python312\site-packages\sklearn\datasets\_arff_parser.py:463(load_arff_from_gzip_file)
        1    0.015    0.015    3.032    3.032 C:\Users\fredm\AppData\Roaming\Python\Python312\site-packages\sklearn\datasets\_arff_parser.py:311(_pandas_arff_parser)
        1    0.000    0.000    2.789    2.789 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\model\haml.py:285(fit)
        1    0.000    0.000    2.778    2.778 C:\Python312\Lib\site-packages\pandas\io\parsers\readers.py:868(read_csv)
        1    0.034    0.034    2.778    2.778 C:\Python312\Lib\site-packages\pandas\io\parsers\readers.py:583(_read)


