         24380754 function calls (24292362 primitive calls) in 1499.574 seconds

   Ordered by: internal time
   List reduced from 6343 to 40 due to restriction <40>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      400  549.795    1.374  549.795    1.374 {method 'run_backward' of 'torch._C._EngineBase' objects}
   450960  243.070    0.001  376.334    0.001 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\dynamics\level_vectorized.py:114(_flat_force)
   300640  150.840    0.001  153.599    0.001 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\projection\spaces.py:127(project_up)
   151164   77.051    0.001   78.330    0.001 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\projection\spaces.py:107(project_down)
    16900   68.558    0.004  813.867    0.048 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\dynamics\integrator.py:139(step_rk4)
  1358107   50.346    0.000   50.346    0.000 {method 'pow' of 'torch._C.TensorBase' objects}
   225480   50.027    0.000  434.904    0.002 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\dynamics\level_vectorized.py:188(intra_level_force)
  1354443   45.044    0.000   45.044    0.000 {built-in method torch.sum}
   150320   41.772    0.000  122.049    0.001 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\dynamics\coupling.py:87(top_down_force)
   150320   33.788    0.000  189.950    0.001 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\dynamics\coupling.py:56(bottom_up_force)
  1662113   31.510    0.000   31.510    0.000 {built-in method torch.exp}
    75160   26.940    0.000  809.440    0.011 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\dynamics\integrator.py:80(compute_forces)
   225480   26.721    0.000  346.389    0.002 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\dynamics\coupling.py:142(total_force)
    75160   24.423    0.000  833.863    0.011 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\dynamics\integrator.py:106(velocity_field)
    24460   10.873    0.000   18.079    0.001 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\dynamics\integrator.py:68(_compute_convergence_fraction)
  1360332    8.270    0.000    8.270    0.000 {method 'unsqueeze' of 'torch._C.TensorBase' objects}
   150344    7.669    0.000    7.669    0.000 {built-in method torch.zeros_like}
    88056    5.729    0.000    5.729    0.000 {built-in method torch._C._linalg.linalg_vector_norm}
   450960    5.535    0.000    5.535    0.000 {built-in method torch.clamp}
     7560    5.038    0.001   93.642    0.012 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\dynamics\integrator.py:120(step_euler)
        1    4.192    4.192 1480.473 1480.473 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\training\trainer.py:98(train)
  4231347    4.005    0.000    4.005    0.000 C:\Python312\Lib\site-packages\torch\nn\modules\module.py:1927(__getattr__)
1358140/1358123    3.260    0.000   54.057    0.000 C:\Python312\Lib\site-packages\torch\_tensor.py:33(wrapped)
      421    2.910    0.007  929.976    2.209 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\dynamics\integrator.py:172(integrate)
   450960    2.576    0.000    2.576    0.000 {method 't' of 'torch._C.TensorBase' objects}
     1263    1.605    0.001    4.926    0.004 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\dynamics\level_vectorized.py:216(predict_class_scores)
        1    1.447    1.447    2.049    2.049 C:\Python312\Lib\site-packages\pandas\io\parsers\c_parser_wrapper.py:222(read)
    88056    1.098    0.000    6.917    0.000 C:\Python312\Lib\site-packages\torch\functional.py:1698(norm)
      300    0.970    0.003    1.083    0.004 C:\Users\fredm\AppData\Roaming\Python\Python312\site-packages\sklearn\cluster\_kmeans.py:623(_kmeans_single_lloyd)
   451816    0.951    0.000    1.770    0.000 C:\Python312\Lib\site-packages\torch\nn\modules\container.py:615(_get_abs_string_index)
   451812    0.799    0.000    3.525    0.000 C:\Python312\Lib\site-packages\torch\nn\modules\container.py:632(__getitem__)
    20020    0.763    0.000    0.763    0.000 {method 'decompress' of 'zlib._ZlibDecompressor' objects}
    24490    0.514    0.000    0.514    0.000 {method 'mean' of 'torch._C.TensorBase' objects}
   657851    0.505    0.000    0.791    0.000 {built-in method builtins.getattr}
1131650/1126983    0.492    0.000    0.711    0.000 {built-in method builtins.len}
    58704    0.483    0.000    0.483    0.000 {built-in method torch.maximum}
  1359403    0.450    0.000    0.450    0.000 {built-in method torch._C._has_torch_function}
39747/39399    0.429    0.000    0.974    0.000 {method 'read' of '_io.BufferedReader' objects}
1031188/977660    0.380    0.000    0.524    0.000 {built-in method builtins.isinstance}
   150322    0.365    0.000    2.308    0.000 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\dynamics\coupling.py:46(alpha_bu)


