         30480970 function calls (30392612 primitive calls) in 1764.920 seconds

   Ordered by: internal time
   List reduced from 6340 to 40 due to restriction <40>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      400  624.950    1.562  624.950    1.562 {method 'run_backward' of 'torch._C._EngineBase' objects}
   587040  287.826    0.000  439.998    0.001 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\dynamics\level_vectorized.py:114(_flat_force)
   391360  190.626    0.000  193.677    0.000 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\projection\spaces.py:127(project_up)
   196524   96.762    0.000   98.209    0.000 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\projection\spaces.py:107(project_down)
    24460   94.038    0.004 1100.113    0.045 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\dynamics\integrator.py:139(step_rk4)
   293520   60.726    0.000  509.543    0.002 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\dynamics\level_vectorized.py:188(intra_level_force)
  1766347   59.358    0.000   59.358    0.000 {method 'pow' of 'torch._C.TensorBase' objects}
   195680   51.770    0.000  152.639    0.001 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\dynamics\coupling.py:87(top_down_force)
  1762683   51.305    0.000   51.305    0.000 {built-in method torch.sum}
   195680   41.249    0.000  237.316    0.001 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\dynamics\coupling.py:56(bottom_up_force)
  2161073   34.050    0.000   34.050    0.000 {built-in method torch.exp}
    97840   33.329    0.000  976.173    0.010 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\dynamics\integrator.py:80(compute_forces)
   293520   33.019    0.000  432.053    0.001 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\dynamics\coupling.py:142(total_force)
    97840   29.861    0.000 1006.034    0.010 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\dynamics\integrator.py:106(velocity_field)
    24460    9.918    0.000   16.229    0.001 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\dynamics\integrator.py:68(_compute_convergence_fraction)
   195704    9.078    0.000    9.078    0.000 {built-in method torch.zeros_like}
  1768572    8.753    0.000    8.753    0.000 {method 'unsqueeze' of 'torch._C.TensorBase' objects}
   587040    5.891    0.000    5.891    0.000 {built-in method torch.clamp}
        1    5.133    5.133 1747.513 1747.513 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\training\trainer.py:98(train)
    88056    5.082    0.000    5.082    0.000 {built-in method torch._C._linalg.linalg_vector_norm}
  5501417    3.959    0.000    3.959    0.000 C:\Python312\Lib\site-packages\torch\nn\modules\module.py:1927(__getattr__)
1766380/1766363    3.728    0.000   63.564    0.000 C:\Python312\Lib\site-packages\torch\_tensor.py:33(wrapped)
   587040    2.772    0.000    2.772    0.000 {method 't' of 'torch._C.TensorBase' objects}
      421    2.645    0.006 1120.343    2.661 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\dynamics\integrator.py:172(integrate)
        1    1.644    1.644    2.237    2.237 C:\Python312\Lib\site-packages\pandas\io\parsers\c_parser_wrapper.py:222(read)
     1263    1.473    0.001    4.640    0.004 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\dynamics\level_vectorized.py:216(predict_class_scores)
   587896    1.115    0.000    2.042    0.000 C:\Python312\Lib\site-packages\torch\nn\modules\container.py:615(_get_abs_string_index)
    88056    0.984    0.000    6.146    0.000 C:\Python312\Lib\site-packages\torch\functional.py:1698(norm)
      300    0.910    0.003    1.011    0.003 C:\Users\fredm\AppData\Roaming\Python\Python312\site-packages\sklearn\cluster\_kmeans.py:623(_kmeans_single_lloyd)
   587892    0.900    0.000    4.114    0.000 C:\Python312\Lib\site-packages\torch\nn\modules\container.py:632(__getitem__)
    20020    0.751    0.000    0.751    0.000 {method 'decompress' of 'zlib._ZlibDecompressor' objects}
   792390    0.667    0.000    0.977    0.000 {built-in method builtins.getattr}
1404078/1399411    0.568    0.000    0.812    0.000 {built-in method builtins.len}
  1767643    0.478    0.000    0.478    0.000 {built-in method torch._C._has_torch_function}
    24490    0.437    0.000    0.437    0.000 {method 'mean' of 'torch._C.TensorBase' objects}
1166668/1113174    0.399    0.000    0.536    0.000 {built-in method builtins.isinstance}
   195682    0.388    0.000    2.509    0.000 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\dynamics\coupling.py:46(alpha_bu)
    58704    0.386    0.000    0.386    0.000 {built-in method torch.maximum}
   195682    0.384    0.000    2.442    0.000 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\dynamics\coupling.py:51(alpha_td)
        8    0.312    0.039    0.322    0.040 C:\Users\fredm\AppData\Roaming\Python\Python312\site-packages\scipy\linalg\_decomp_lu.py:216(lu)


