         10691899 function calls (10603507 primitive calls) in 461.518 seconds

   Ordered by: cumulative time
   List reduced from 6340 to 40 due to restriction <40>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    1.374    1.374  451.346  451.346 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\training\trainer.py:98(train)
      421    2.301    0.005  281.789    0.669 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\dynamics\integrator.py:172(integrate)
    24460   14.351    0.001  262.465    0.011 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\dynamics\integrator.py:120(step_euler)
    24460    7.356    0.000  248.082    0.010 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\dynamics\integrator.py:106(velocity_field)
    24460    8.243    0.000  240.726    0.010 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\dynamics\integrator.py:80(compute_forces)
      400    0.003    0.000  164.202    0.411 C:\Python312\Lib\site-packages\torch\_tensor.py:592(backward)
      400    0.008    0.000  164.199    0.410 C:\Python312\Lib\site-packages\torch\autograd\__init__.py:243(backward)
      400    0.004    0.000  164.171    0.410 C:\Python312\Lib\site-packages\torch\autograd\graph.py:815(_engine_run_backward)
      400  164.167    0.410  164.167    0.410 {method 'run_backward' of 'torch._C._EngineBase' objects}
       21    0.000    0.000  144.077    6.861 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\model\haml.py:384(forward)
    73380   14.763    0.000  124.492    0.002 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\dynamics\level_vectorized.py:188(intra_level_force)
    73380    8.299    0.000  107.610    0.001 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\dynamics\coupling.py:142(total_force)
   146760   70.284    0.000  107.536    0.001 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\dynamics\level_vectorized.py:114(_flat_force)
       11    0.001    0.000   74.854    6.805 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\model\haml.py:402(predict)
       10    0.002    0.000   72.506    7.251 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\training\metrics.py:13(compute_level_accuracy)
