         6771271 function calls (6741332 primitive calls) in 162.132 seconds

   Ordered by: internal time
   List reduced from 6026 to 40 due to restriction <40>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       80   59.598    0.745   59.598    0.745 {method 'run_backward' of 'torch._C._EngineBase' objects}
    12512   30.855    0.002   30.855    0.002 {method 'item' of 'torch._C.TensorBase' objects}
    38866   14.161    0.000   14.161    0.000 {method 'read' of '_ssl._SSLSocket' objects}
    81600   11.947    0.000   19.723    0.000 /kaggle/working/HIERARCHICAL-ATTRACTOR-MACHINE-LEARNING/haml/dynamics/level_vectorized.py:114(_flat_force)
   300929    3.995    0.000    3.995    0.000 {built-in method torch.exp}
        1    3.234    3.234    4.286    4.286 /usr/local/lib/python3.12/dist-packages/pandas/io/parsers/c_parser_wrapper.py:222(read)
   173850    2.853    0.000    2.853    0.000 {method 'pow' of 'torch._C.TensorBase' objects}
    54400    2.540    0.000    3.013    0.000 /kaggle/working/HIERARCHICAL-ATTRACTOR-MACHINE-LEARNING/haml/projection/spaces.py:127(project_up)
   491100    2.432    0.000    2.432    0.000 {method 'unsqueeze' of 'torch._C.TensorBase' objects}
    40800    1.896    0.000   25.888    0.001 /kaggle/working/HIERARCHICAL-ATTRACTOR-MACHINE-LEARNING/haml/dynamics/level_vectorized.py:173(intra_level_force)
     3400    1.850    0.001   38.354    0.011 /kaggle/working/HIERARCHICAL-ATTRACTOR-MACHINE-LEARNING/haml/dynamics/integrator.py:114(step_rk4)
    91515    1.756    0.000    1.756    0.000 {built-in method torch.sum}
        1    1.729    1.729  131.258  131.258 /kaggle/working/HIERARCHICAL-ATTRACTOR-MACHINE-LEARNING/haml/training/trainer.py:94(train)
    81840    1.593    0.000    1.593    0.000 {method 'sum' of 'torch._C.TensorBase' objects}
    20020    1.137    0.000    1.137    0.000 {method 'decompress' of 'zlib._ZlibDecompressor' objects}
       10    1.122    0.112    1.122    0.112 {method 'do_handshake' of '_ssl._SSLSocket' objects}
    27200    1.060    0.000    4.408    0.000 /kaggle/working/HIERARCHICAL-ATTRACTOR-MACHINE-LEARNING/haml/dynamics/coupling.py:56(bottom_up_force)
    27372    1.057    0.000    1.247    0.000 /kaggle/working/HIERARCHICAL-ATTRACTOR-MACHINE-LEARNING/haml/projection/spaces.py:107(project_down)
       10    1.021    0.102    1.021    0.102 {method 'connect' of '_socket.socket' objects}
    13600    0.980    0.000   35.793    0.003 /kaggle/working/HIERARCHICAL-ATTRACTOR-MACHINE-LEARNING/haml/dynamics/integrator.py:55(compute_forces)
    27200    0.960    0.000    2.812    0.000 /kaggle/working/HIERARCHICAL-ATTRACTOR-MACHINE-LEARNING/haml/dynamics/coupling.py:87(top_down_force)
       10    0.937    0.094    0.938    0.094 {built-in method _socket.getaddrinfo}
    40800    0.777    0.000    8.481    0.000 /kaggle/working/HIERARCHICAL-ATTRACTOR-MACHINE-LEARNING/haml/dynamics/coupling.py:142(total_force)
   602810    0.759    0.000    0.759    0.000 /usr/local/lib/python3.12/dist-packages/torch/nn/modules/module.py:1952(__getattr__)
    13600    0.707    0.000   36.500    0.003 /kaggle/working/HIERARCHICAL-ATTRACTOR-MACHINE-LEARNING/haml/dynamics/integrator.py:81(velocity_field)
        8    0.686    0.086    0.697    0.087 /usr/local/lib/python3.12/dist-packages/scipy/linalg/_decomp_lu.py:213(lu)
       85    0.535    0.006   70.092    0.825 /kaggle/working/HIERARCHICAL-ATTRACTOR-MACHINE-LEARNING/haml/dynamics/integrator.py:147(integrate)
    27224    0.484    0.000    0.484    0.000 {built-in method torch.zeros_like}
        1    0.440    0.440    1.316    1.316 /usr/local/lib/python3.12/dist-packages/sklearn/utils/extmath.py:215(randomized_range_finder)
      300    0.417    0.001    0.624    0.002 /usr/local/lib/python3.12/dist-packages/sklearn/cluster/_kmeans.py:623(_kmeans_single_lloyd)
   173850    0.329    0.000    3.243    0.000 /usr/local/lib/python3.12/dist-packages/torch/_tensor.py:40(wrapped)
    20043    0.287    0.000    0.287    0.000 {built-in method zlib.crc32}
    10200    0.268    0.000    0.268    0.000 {built-in method torch._C._linalg.linalg_vector_norm}
    37897    0.267    0.000    0.267    0.000 {method 'update' of '_hashlib.HASH' objects}
       80    0.263    0.003    0.545    0.007 /kaggle/working/HIERARCHICAL-ATTRACTOR-MACHINE-LEARNING/haml/training/loss.py:100(dynamic_loss)
       76    0.259    0.003    0.261    0.003 /usr/local/lib/python3.12/dist-packages/pandas/core/array_algos/take.py:120(_take_nd_ndarray)
       87    0.233    0.003    0.233    0.003 {built-in method torch._C._cuda_getDeviceCount}
       69    0.213    0.003    0.256    0.004 {method 'to' of 'torch._C.TensorBase' objects}
        1    0.187    0.187    0.188    0.188 /usr/local/lib/python3.12/dist-packages/scipy/linalg/_decomp_svd.py:16(svd)
      784    0.183    0.000    0.183    0.000 /usr/local/lib/python3.12/dist-packages/pandas/core/dtypes/concat.py:52(concat_compat)


