         6179915 function calls (6150030 primitive calls) in 139.485 seconds

   Ordered by: cumulative time
   List reduced from 5787 to 40 due to restriction <40>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    1.749    1.749  126.503  126.503 /kaggle/working/HIERARCHICAL-ATTRACTOR-MACHINE-LEARNING/haml/training/trainer.py:94(train)
       85    0.094    0.001   65.899    0.775 /kaggle/working/HIERARCHICAL-ATTRACTOR-MACHINE-LEARNING/haml/dynamics/integrator.py:159(integrate)
     3400    3.444    0.001   65.803    0.019 /kaggle/working/HIERARCHICAL-ATTRACTOR-MACHINE-LEARNING/haml/dynamics/integrator.py:126(step_rk4)
    13600    1.988    0.000   62.355    0.005 /kaggle/working/HIERARCHICAL-ATTRACTOR-MACHINE-LEARNING/haml/dynamics/integrator.py:93(velocity_field)
    13600    2.925    0.000   60.367    0.004 /kaggle/working/HIERARCHICAL-ATTRACTOR-MACHINE-LEARNING/haml/dynamics/integrator.py:67(compute_forces)
       80    0.001    0.000   57.615    0.720 /usr/local/lib/python3.12/dist-packages/torch/_tensor.py:575(backward)
       80    0.002    0.000   57.614    0.720 /usr/local/lib/python3.12/dist-packages/torch/autograd/__init__.py:252(backward)
       80    0.001    0.000   57.604    0.720 /usr/local/lib/python3.12/dist-packages/torch/autograd/graph.py:856(_engine_run_backward)
       80   57.603    0.720   57.603    0.720 {method 'run_backward' of 'torch._C._EngineBase' objects}
    40800    2.179    0.000   43.940    0.001 /kaggle/working/HIERARCHICAL-ATTRACTOR-MACHINE-LEARNING/haml/dynamics/level_vectorized.py:173(intra_level_force)
        5    0.000    0.000   31.051    6.210 /kaggle/working/HIERARCHICAL-ATTRACTOR-MACHINE-LEARNING/haml/model/haml.py:315(forward)
    81600   20.646    0.000   31.041    0.000 /kaggle/working/HIERARCHICAL-ATTRACTOR-MACHINE-LEARNING/haml/dynamics/level_vectorized.py:114(_flat_force)
    30/23    0.000    0.000   18.703    0.813 /usr/local/lib/python3.12/dist-packages/torch/_ops.py:349(fallthrough)
        3    0.001    0.000   17.156    5.719 /kaggle/working/HIERARCHICAL-ATTRACTOR-MACHINE-LEARNING/haml/model/haml.py:333(predict)
        2    0.002    0.001   15.516    7.758 /kaggle/working/HIERARCHICAL-ATTRACTOR-MACHINE-LEARNING/haml/training/metrics.py:13(compute_level_accuracy)
    40800    1.728    0.000   13.075    0.000 /kaggle/working/HIERARCHICAL-ATTRACTOR-MACHINE-LEARNING/haml/dynamics/coupling.py:142(total_force)
   300929    8.247    0.000    8.247    0.000 {built-in method torch.exp}
1204/1203    0.002    0.000    7.467    0.006 /usr/local/lib/python3.12/dist-packages/sklearn/utils/_param_validation.py:185(wrapper)
   173850    0.342    0.000    7.079    0.000 /usr/local/lib/python3.12/dist-packages/torch/_tensor.py:40(wrapped)
    27200    1.782    0.000    6.976    0.000 /kaggle/working/HIERARCHICAL-ATTRACTOR-MACHINE-LEARNING/haml/dynamics/coupling.py:56(bottom_up_force)
   173850    6.680    0.000    6.680    0.000 {method 'pow' of 'torch._C.TensorBase' objects}
     20/7    0.003    0.000    6.609    0.944 /usr/local/lib/python3.12/dist-packages/torch/nn/modules/module.py:930(_apply)
        1    0.052    0.052    6.095    6.095 /kaggle/working/HIERARCHICAL-ATTRACTOR-MACHINE-LEARNING/experiments/profile_training_runtime.py:46(load_fashion_mnist_subset)
        1    0.000    0.000    5.974    5.974 /usr/local/lib/python3.12/dist-packages/sklearn/datasets/_openml.py:754(fetch_openml)
        5    0.000    0.000    5.973    1.195 /usr/local/lib/python3.12/dist-packages/sklearn/datasets/_openml.py:62(wrapper)
        1    0.000    0.000    5.970    5.970 /usr/local/lib/python3.12/dist-packages/sklearn/datasets/_openml.py:572(_download_data_to_bunch)
        1    0.018    0.018    5.970    5.970 /usr/local/lib/python3.12/dist-packages/sklearn/datasets/_openml.py:436(_load_arff_response)
        1    0.000    0.000    4.773    4.773 /usr/local/lib/python3.12/dist-packages/sklearn/datasets/_openml.py:534(_open_url_and_load_gzip_file)
        1    0.000    0.000    4.773    4.773 /usr/local/lib/python3.12/dist-packages/sklearn/datasets/_arff_parser.py:463(load_arff_from_gzip_file)
        1    0.007    0.007    4.773    4.773 /usr/local/lib/python3.12/dist-packages/sklearn/datasets/_arff_parser.py:311(_pandas_arff_parser)
        1    0.000    0.000    4.513    4.513 /usr/local/lib/python3.12/dist-packages/pandas/io/parsers/readers.py:868(read_csv)
        1    0.008    0.008    4.513    4.513 /usr/local/lib/python3.12/dist-packages/pandas/io/parsers/readers.py:583(_read)
        1    0.002    0.002    4.497    4.497 /usr/local/lib/python3.12/dist-packages/pandas/io/parsers/readers.py:1907(read)
        1    3.270    3.270    4.309    4.309 /usr/local/lib/python3.12/dist-packages/pandas/io/parsers/c_parser_wrapper.py:222(read)
       22    0.000    0.000    4.129    0.188 /usr/local/lib/python3.12/dist-packages/torch/_ops.py:292(py_impl)
    27200    1.381    0.000    3.871    0.000 /kaggle/working/HIERARCHICAL-ATTRACTOR-MACHINE-LEARNING/haml/dynamics/coupling.py:87(top_down_force)
    54400    2.774    0.000    3.252    0.000 /kaggle/working/HIERARCHICAL-ATTRACTOR-MACHINE-LEARNING/haml/projection/spaces.py:127(project_up)
