         7932109 function calls (7895126 primitive calls) in 60.934 seconds

   Ordered by: cumulative time
   List reduced from 5815 to 40 due to restriction <40>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    1.215    1.215   58.595   58.595 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\training\trainer.py:98(train)
       80    0.001    0.000   30.949    0.387 C:\Python312\Lib\site-packages\torch\_tensor.py:592(backward)
       80    0.002    0.000   30.947    0.387 C:\Python312\Lib\site-packages\torch\autograd\__init__.py:243(backward)
       80    0.001    0.000   30.938    0.387 C:\Python312\Lib\site-packages\torch\autograd\graph.py:815(_engine_run_backward)
       80   30.937    0.387   30.937    0.387 {method 'run_backward' of 'torch._C._EngineBase' objects}
       85    0.158    0.002   26.833    0.316 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\dynamics\integrator.py:172(integrate)
     5540    0.898    0.000   25.884    0.005 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\dynamics\integrator.py:139(step_rk4)
    22160    0.401    0.000   24.982    0.001 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\dynamics\integrator.py:106(velocity_field)
    22160    0.434    0.000   24.582    0.001 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\dynamics\integrator.py:80(compute_forces)
    66480    1.145    0.000   20.970    0.000 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\dynamics\level_vectorized.py:188(intra_level_force)
   132960   10.968    0.000   18.867    0.000 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\dynamics\level_vectorized.py:114(_flat_force)
    32/22    0.000    0.000   11.436    0.520 C:\Python312\Lib\site-packages\torch\_ops.py:316(fallthrough)
        5    0.000    0.000    4.236    0.847 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\model\haml.py:315(forward)
   399147    3.382    0.000    3.382    0.000 {built-in method torch.sum}
    66480    0.319    0.000    3.001    0.000 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\dynamics\coupling.py:142(total_force)
    25/20    0.000    0.000    2.579    0.129 C:\Python312\Lib\site-packages\torch\_ops.py:296(py_impl)
        3    0.000    0.000    2.368    0.789 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\model\haml.py:333(predict)
   489249    1.977    0.000    1.977    0.000 {built-in method torch.exp}
       90    0.002    0.000    1.952    0.022 C:\Python312\Lib\site-packages\torch\library.py:293(impl)
        2    0.000    0.000    1.881    0.940 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\training\metrics.py:13(compute_level_accuracy)
399916/399899    0.585    0.000    1.863    0.000 C:\Python312\Lib\site-packages\torch\_tensor.py:33(wrapped)
        3    0.000    0.000    1.719    0.573 C:\Python312\Lib\site-packages\torch\_ops.py:161(py_functionalize_impl)
    44320    0.361    0.000    1.534    0.000 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\dynamics\coupling.py:56(bottom_up_force)
   399883    1.227    0.000    1.227    0.000 {method 'pow' of 'torch._C.TensorBase' objects}
    88640    0.679    0.000    1.091    0.000 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\projection\spaces.py:127(project_up)
    44320    0.329    0.000    1.007    0.000 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\dynamics\coupling.py:87(top_down_force)
   400380    0.882    0.000    0.882    0.000 {method 'unsqueeze' of 'torch._C.TensorBase' objects}
        3    0.000    0.000    0.863    0.288 C:\Python312\Lib\site-packages\torch\_ops.py:268(__init__)
        1    0.000    0.000    0.845    0.845 C:\Python312\Lib\site-packages\torch\_higher_order_ops\triton_kernel_wrap.py:797(__init__)
       26    0.002    0.000    0.734    0.028 C:\Python312\Lib\site-packages\torch\library.py:135(define)
     5540    0.251    0.000    0.692    0.000 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\dynamics\integrator.py:68(_compute_convergence_fraction)
        1    0.000    0.000    0.620    0.620 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\model\haml.py:386(score)
   133140    0.128    0.000    0.530    0.000 C:\Python312\Lib\site-packages\torch\nn\modules\container.py:632(__getitem__)
       18    0.001    0.000    0.501    0.028 C:\Python312\Lib\site-packages\torch\_prims\__init__.py:356(<genexpr>)
   132960    0.490    0.000    0.490    0.000 {built-in method torch.clamp}
        7    0.000    0.000    0.469    0.067 C:\Python312\Lib\site-packages\torch\_inductor\inductor_prims.py:18(make_prim)
        7    0.000    0.000    0.469    0.067 C:\Python312\Lib\site-packages\torch\_prims\__init__.py:267(_make_prim)
  1245437    0.453    0.000    0.453    0.000 C:\Python312\Lib\site-packages\torch\nn\modules\module.py:1927(__getattr__)
    44492    0.262    0.000    0.429    0.000 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\projection\spaces.py:107(project_down)
        1    0.000    0.000    0.427    0.427 C:\Python312\Lib\site-packages\torch\_dynamo\exc.py:1(<module>)


