         29485109 function calls (29404262 primitive calls) in 310.801 seconds

   Ordered by: internal time
   List reduced from 5831 to 40 due to restriction <40>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      400  162.006    0.405  162.006    0.405 {method 'run_backward' of 'torch._C._EngineBase' objects}
   587040   56.579    0.000   98.016    0.000 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\dynamics\level_vectorized.py:114(_flat_force)
  1762443   17.945    0.000   17.945    0.000 {built-in method torch.sum}
  2161073    9.779    0.000    9.779    0.000 {built-in method torch.exp}
  1766107    6.496    0.000    6.496    0.000 {method 'pow' of 'torch._C.TensorBase' objects}
        1    6.030    6.030  307.668  307.668 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\training\trainer.py:98(train)
   293520    5.865    0.000  108.887    0.000 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\dynamics\level_vectorized.py:188(intra_level_force)
    24460    4.752    0.000  134.301    0.005 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\dynamics\integrator.py:139(step_rk4)
  1768572    4.607    0.000    4.607    0.000 {method 'unsqueeze' of 'torch._C.TensorBase' objects}
   391360    3.591    0.000    5.585    0.000 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\projection\spaces.py:127(project_up)
1766140/1766123    3.434    0.000   10.210    0.000 C:\Python312\Lib\site-packages\torch\_tensor.py:33(wrapped)
   587040    2.578    0.000    2.578    0.000 {built-in method torch.clamp}
  5500937    2.357    0.000    2.357    0.000 C:\Python312\Lib\site-packages\torch\nn\modules\module.py:1927(__getattr__)
    97840    2.197    0.000  127.465    0.001 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\dynamics\integrator.py:80(compute_forces)
    97840    2.068    0.000  129.533    0.001 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\dynamics\integrator.py:106(velocity_field)
   195680    1.890    0.000    7.882    0.000 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\dynamics\coupling.py:56(bottom_up_force)
   195680    1.712    0.000    5.172    0.000 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\dynamics\coupling.py:87(top_down_force)
   587040    1.709    0.000    1.709    0.000 {method 't' of 'torch._C.TensorBase' objects}
   293520    1.666    0.000   15.437    0.000 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\dynamics\coupling.py:142(total_force)
   196524    1.388    0.000    2.157    0.000 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\projection\spaces.py:107(project_down)
    24460    1.293    0.000    3.510    0.000 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\dynamics\integrator.py:68(_compute_convergence_fraction)
    88056    0.931    0.000    0.931    0.000 {built-in method torch._C._linalg.linalg_vector_norm}
      421    0.775    0.002  139.090    0.330 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\dynamics\integrator.py:172(integrate)
   195704    0.717    0.000    0.717    0.000 {built-in method torch.zeros_like}
   587896    0.639    0.000    1.259    0.000 C:\Python312\Lib\site-packages\torch\nn\modules\container.py:615(_get_abs_string_index)
   587892    0.602    0.000    2.514    0.000 C:\Python312\Lib\site-packages\torch\nn\modules\container.py:632(__getitem__)
    88056    0.539    0.000    1.516    0.000 C:\Python312\Lib\site-packages\torch\functional.py:1698(norm)
   760228    0.385    0.000    0.573    0.000 {built-in method builtins.getattr}
1288480/1288127    0.376    0.000    0.546    0.000 {built-in method builtins.len}
       60    0.373    0.006    0.421    0.007 C:\Users\fredm\AppData\Roaming\Python\Python312\site-packages\sklearn\cluster\_kmeans.py:623(_kmeans_single_lloyd)
     1188    0.363    0.000    0.363    0.000 {method 'read' of '_io.BufferedReader' objects}
    24490    0.357    0.000    0.357    0.000 {method 'mean' of 'torch._C.TensorBase' objects}
    58704    0.300    0.000    0.300    0.000 {built-in method torch.maximum}
  1767403    0.279    0.000    0.279    0.000 {built-in method torch._C._has_torch_function}
1095980/1045074    0.229    0.000    0.335    0.000 {built-in method builtins.isinstance}
  1175798    0.170    0.000    0.170    0.000 C:\Python312\Lib\site-packages\torch\nn\modules\container.py:654(__len__)
     4518    0.161    0.000    0.161    0.000 {built-in method nt._getfinalpathname}
   195682    0.146    0.000    0.754    0.000 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\dynamics\coupling.py:46(alpha_bu)
    25474    0.141    0.000    0.337    0.000 C:\Python312\Lib\site-packages\torch\nn\modules\module.py:1944(__setattr__)
   195682    0.138    0.000    0.726    0.000 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\dynamics\coupling.py:51(alpha_td)


