         23363109 function calls (23282242 primitive calls) in 233.901 seconds

   Ordered by: internal time
   List reduced from 5833 to 40 due to restriction <40>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      400  120.165    0.300  120.165    0.300 {method 'run_backward' of 'torch._C._EngineBase' objects}
   450960   41.978    0.000   73.933    0.000 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\dynamics\level_vectorized.py:114(_flat_force)
  1354203   13.621    0.000   13.621    0.000 {built-in method torch.sum}
  1662113    7.555    0.000    7.555    0.000 {built-in method torch.exp}
  1357867    4.832    0.000    4.832    0.000 {method 'pow' of 'torch._C.TensorBase' objects}
        1    4.666    4.666  230.722  230.722 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\training\trainer.py:98(train)
   225480    4.361    0.000   82.073    0.000 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\dynamics\level_vectorized.py:188(intra_level_force)
  1360332    3.516    0.000    3.516    0.000 {method 'unsqueeze' of 'torch._C.TensorBase' objects}
    16900    3.142    0.000   90.966    0.005 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\dynamics\integrator.py:139(step_rk4)
1357900/1357883    3.119    0.000    8.151    0.000 C:\Python312\Lib\site-packages\torch\_tensor.py:33(wrapped)
   300640    2.689    0.000    4.148    0.000 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\projection\spaces.py:127(project_up)
   450960    1.924    0.000    1.924    0.000 {built-in method torch.clamp}
  4230867    1.881    0.000    1.881    0.000 C:\Python312\Lib\site-packages\torch\nn\modules\module.py:1927(__getattr__)
    75160    1.685    0.000   96.060    0.001 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\dynamics\integrator.py:80(compute_forces)
    75160    1.533    0.000   97.593    0.001 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\dynamics\integrator.py:106(velocity_field)
   150320    1.389    0.000    5.858    0.000 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\dynamics\coupling.py:56(bottom_up_force)
   450960    1.296    0.000    1.296    0.000 {method 't' of 'torch._C.TensorBase' objects}
   150320    1.264    0.000    3.858    0.000 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\dynamics\coupling.py:87(top_down_force)
   225480    1.221    0.000   11.466    0.000 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\dynamics\coupling.py:142(total_force)
    24460    1.202    0.000    3.211    0.000 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\dynamics\integrator.py:68(_compute_convergence_fraction)
   151164    1.058    0.000    1.626    0.000 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\projection\spaces.py:107(project_down)
    88056    0.850    0.000    0.850    0.000 {built-in method torch._C._linalg.linalg_vector_norm}
      421    0.688    0.002  105.347    0.250 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\dynamics\integrator.py:172(integrate)
   150344    0.529    0.000    0.529    0.000 {built-in method torch.zeros_like}
   451816    0.478    0.000    0.956    0.000 C:\Python312\Lib\site-packages\torch\nn\modules\container.py:615(_get_abs_string_index)
    88056    0.477    0.000    1.372    0.000 C:\Python312\Lib\site-packages\torch\functional.py:1698(norm)
   451812    0.448    0.000    1.851    0.000 C:\Python312\Lib\site-packages\torch\nn\modules\container.py:632(__getitem__)
       60    0.416    0.007    0.480    0.008 C:\Users\fredm\AppData\Roaming\Python\Python312\site-packages\sklearn\cluster\_kmeans.py:623(_kmeans_single_lloyd)
    24490    0.324    0.000    0.324    0.000 {method 'mean' of 'torch._C.TensorBase' objects}
1016537/1016184    0.307    0.000    0.427    0.000 {built-in method builtins.len}
    58704    0.283    0.000    0.283    0.000 {built-in method torch.maximum}
   624148    0.269    0.000    0.399    0.000 {built-in method builtins.getattr}
     4518    0.265    0.000    0.265    0.000 {built-in method nt._getfinalpathname}
     7560    0.238    0.000   10.023    0.001 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\dynamics\integrator.py:120(step_euler)
  1359163    0.199    0.000    0.199    0.000 {built-in method torch._C._has_torch_function}
959952/909026    0.198    0.000    0.291    0.000 {built-in method builtins.isinstance}
     1182    0.131    0.000    0.131    0.000 {built-in method marshal.loads}
    25484    0.128    0.000    0.299    0.000 C:\Python312\Lib\site-packages\torch\nn\modules\module.py:1944(__setattr__)
     1182    0.124    0.000    0.257    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
    26988    0.121    0.000    0.121    0.000 {method 'float' of 'torch._C.TensorBase' objects}


