         29485062 function calls (29404216 primitive calls) in 295.328 seconds

   Ordered by: cumulative time
   List reduced from 5832 to 40 due to restriction <40>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    6.009    6.009  292.197  292.197 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\training\trainer.py:98(train)
      400    0.006    0.000  151.797    0.379 C:\Python312\Lib\site-packages\torch\_tensor.py:592(backward)
      400    0.009    0.000  151.791    0.379 C:\Python312\Lib\site-packages\torch\autograd\__init__.py:243(backward)
      400    0.004    0.000  151.753    0.379 C:\Python312\Lib\site-packages\torch\autograd\graph.py:815(_engine_run_backward)
      400  151.748    0.379  151.748    0.379 {method 'run_backward' of 'torch._C._EngineBase' objects}
      421    0.732    0.002  133.867    0.318 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\dynamics\integrator.py:172(integrate)
    24460    4.457    0.000  129.384    0.005 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\dynamics\integrator.py:139(step_rk4)
    97840    1.944    0.000  124.910    0.001 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\dynamics\integrator.py:106(velocity_field)
    97840    2.108    0.000  122.966    0.001 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\dynamics\integrator.py:80(compute_forces)
   293520    5.565    0.000  105.136    0.000 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\dynamics\level_vectorized.py:188(intra_level_force)
   587040   54.325    0.000   94.844    0.000 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\dynamics\level_vectorized.py:114(_flat_force)
       21    0.000    0.000   22.837    1.087 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\model\haml.py:315(forward)
  1762443   17.690    0.000   17.690    0.000 {built-in method torch.sum}
    32/22    0.000    0.000   15.584    0.708 C:\Python312\Lib\site-packages\torch\_ops.py:316(fallthrough)
   293520    1.599    0.000   14.812    0.000 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\dynamics\coupling.py:142(total_force)
       11    0.000    0.000   11.904    1.082 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\model\haml.py:333(predict)
       10    0.001    0.000   11.011    1.101 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\training\metrics.py:13(compute_level_accuracy)
1766140/1766123    3.383    0.000    9.761    0.000 C:\Python312\Lib\site-packages\torch\_tensor.py:33(wrapped)
  2161073    9.568    0.000    9.568    0.000 {built-in method torch.exp}
   195680    1.793    0.000    7.574    0.000 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\dynamics\coupling.py:56(bottom_up_force)
  1766107    6.125    0.000    6.125    0.000 {method 'pow' of 'torch._C.TensorBase' objects}
   391360    3.457    0.000    5.385    0.000 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\projection\spaces.py:127(project_up)
   195680    1.635    0.000    4.968    0.000 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\dynamics\coupling.py:87(top_down_force)
  1768572    4.463    0.000    4.463    0.000 {method 'unsqueeze' of 'torch._C.TensorBase' objects}
    25/20    0.000    0.000    3.460    0.173 C:\Python312\Lib\site-packages\torch\_ops.py:296(py_impl)
    24460    1.204    0.000    3.280    0.000 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\dynamics\integrator.py:68(_compute_convergence_fraction)
       90    0.003    0.000    3.080    0.034 C:\Python312\Lib\site-packages\torch\library.py:293(impl)
   587040    2.460    0.000    2.460    0.000 {built-in method torch.clamp}
   587892    0.580    0.000    2.431    0.000 C:\Python312\Lib\site-packages\torch\nn\modules\container.py:632(__getitem__)
        3    0.000    0.000    2.308    0.769 C:\Python312\Lib\site-packages\torch\_ops.py:161(py_functionalize_impl)
  5500937    2.266    0.000    2.266    0.000 C:\Python312\Lib\site-packages\torch\nn\modules\module.py:1927(__getattr__)
   196524    1.354    0.000    2.086    0.000 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\projection\spaces.py:107(project_down)
   587040    1.659    0.000    1.659    0.000 {method 't' of 'torch._C.TensorBase' objects}
    88056    0.498    0.000    1.413    0.000 C:\Python312\Lib\site-packages\torch\functional.py:1698(norm)
   587896    0.616    0.000    1.261    0.000 C:\Python312\Lib\site-packages\torch\nn\modules\container.py:615(_get_abs_string_index)
       26    0.003    0.000    1.179    0.045 C:\Python312\Lib\site-packages\torch\library.py:135(define)
        3    0.000    0.000    1.154    0.385 C:\Python312\Lib\site-packages\torch\_ops.py:268(__init__)
        1    0.000    0.000    1.135    1.135 C:\Python312\Lib\site-packages\torch\_higher_order_ops\triton_kernel_wrap.py:797(__init__)
    88056    0.870    0.000    0.870    0.000 {built-in method torch._C._linalg.linalg_vector_norm}
   195682    0.147    0.000    0.729    0.000 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\dynamics\coupling.py:46(alpha_bu)


