         4582830 function calls (4551807 primitive calls) in 32.855 seconds

   Ordered by: cumulative time
   List reduced from 5830 to 40 due to restriction <40>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.616    0.616   30.223   30.223 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\training\trainer.py:98(train)
       80    0.001    0.000   15.691    0.196 C:\Python312\Lib\site-packages\torch\_tensor.py:592(backward)
       80    0.002    0.000   15.690    0.196 C:\Python312\Lib\site-packages\torch\autograd\__init__.py:243(backward)
       80    0.001    0.000   15.682    0.196 C:\Python312\Lib\site-packages\torch\autograd\graph.py:815(_engine_run_backward)
       80   15.681    0.196   15.681    0.196 {method 'run_backward' of 'torch._C._EngineBase' objects}
    32/22    0.000    0.000   14.837    0.674 C:\Python312\Lib\site-packages\torch\_ops.py:316(fallthrough)
       85    0.076    0.001   13.931    0.164 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\dynamics\integrator.py:172(integrate)
     2560    0.467    0.000   13.464    0.005 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\dynamics\integrator.py:139(step_rk4)
    10240    0.205    0.000   12.995    0.001 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\dynamics\integrator.py:106(velocity_field)
    10240    0.222    0.000   12.790    0.001 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\dynamics\integrator.py:80(compute_forces)
    30720    0.585    0.000   10.957    0.000 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\dynamics\level_vectorized.py:188(intra_level_force)
    61440    5.656    0.000    9.866    0.000 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\dynamics\level_vectorized.py:114(_flat_force)
    25/20    0.000    0.000    3.307    0.165 C:\Python312\Lib\site-packages\torch\_ops.py:296(py_impl)
       90    0.002    0.000    2.757    0.031 C:\Python312\Lib\site-packages\torch\library.py:293(impl)
        5    0.000    0.000    2.282    0.456 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\model\haml.py:315(forward)
        3    0.000    0.000    2.205    0.735 C:\Python312\Lib\site-packages\torch\_ops.py:161(py_functionalize_impl)
   184587    1.839    0.000    1.839    0.000 {built-in method torch.sum}
    30720    0.168    0.000    1.564    0.000 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\dynamics\coupling.py:142(total_force)
        3    0.000    0.000    1.283    0.428 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\model\haml.py:333(predict)
        3    0.000    0.000    1.105    0.368 C:\Python312\Lib\site-packages\torch\_ops.py:268(__init__)
        1    0.000    0.000    1.081    1.081 C:\Python312\Lib\site-packages\torch\_higher_order_ops\triton_kernel_wrap.py:797(__init__)
   227009    1.034    0.000    1.034    0.000 {built-in method torch.exp}
       26    0.003    0.000    1.030    0.040 C:\Python312\Lib\site-packages\torch\library.py:135(define)
        2    0.000    0.000    1.014    0.507 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\training\metrics.py:13(compute_level_accuracy)
185356/185339    0.288    0.000    0.976    0.000 C:\Python312\Lib\site-packages\torch\_tensor.py:33(wrapped)
    20480    0.192    0.000    0.798    0.000 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\dynamics\coupling.py:56(bottom_up_force)
       18    0.002    0.000    0.706    0.039 C:\Python312\Lib\site-packages\torch\_prims\__init__.py:356(<genexpr>)
   185323    0.660    0.000    0.660    0.000 {method 'pow' of 'torch._C.TensorBase' objects}
        7    0.000    0.000    0.656    0.094 C:\Python312\Lib\site-packages\torch\_inductor\inductor_prims.py:18(make_prim)
        7    0.000    0.000    0.656    0.094 C:\Python312\Lib\site-packages\torch\_prims\__init__.py:267(_make_prim)
        1    0.000    0.000    0.653    0.653 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\model\haml.py:240(fit)
        1    0.000    0.000    0.652    0.652 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\model\haml.py:144(_initialize_architecture)
       10    0.000    0.000    0.645    0.065 C:\Users\fredm\AppData\Roaming\Python\Python312\site-packages\sklearn\base.py:1372(wrapper)
        3    0.001    0.000    0.645    0.215 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\dynamics\level_vectorized.py:137(initialize_attractors)
        6    0.002    0.000    0.640    0.107 C:\Users\fredm\AppData\Roaming\Python\Python312\site-packages\sklearn\cluster\_kmeans.py:1426(fit)
5133/4744    0.004    0.000    0.587    0.000 {built-in method builtins.any}
    40960    0.366    0.000    0.565    0.000 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\projection\spaces.py:127(project_up)
        8    0.000    0.000    0.553    0.069 C:\Python312\Lib\site-packages\torch\_library\custom_ops.py:145(inner)
        1    0.000    0.000    0.546    0.546 C:\Python312\Lib\site-packages\torch\distributed\fsdp\__init__.py:1(<module>)
    20480    0.175    0.000    0.527    0.000 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\dynamics\coupling.py:87(top_down_force)


