         4582830 function calls (4551807 primitive calls) in 32.855 seconds

   Ordered by: internal time
   List reduced from 5830 to 40 due to restriction <40>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       80   15.681    0.196   15.681    0.196 {method 'run_backward' of 'torch._C._EngineBase' objects}
    61440    5.656    0.000    9.866    0.000 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\dynamics\level_vectorized.py:114(_flat_force)
   184587    1.839    0.000    1.839    0.000 {built-in method torch.sum}
   227009    1.034    0.000    1.034    0.000 {built-in method torch.exp}
   185323    0.660    0.000    0.660    0.000 {method 'pow' of 'torch._C.TensorBase' objects}
        1    0.616    0.616   30.223   30.223 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\training\trainer.py:98(train)
    30720    0.585    0.000   10.957    0.000 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\dynamics\level_vectorized.py:188(intra_level_force)
   185820    0.482    0.000    0.482    0.000 {method 'unsqueeze' of 'torch._C.TensorBase' objects}
     2560    0.467    0.000   13.464    0.005 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\dynamics\integrator.py:139(step_rk4)
       60    0.373    0.006    0.433    0.007 C:\Users\fredm\AppData\Roaming\Python\Python312\site-packages\sklearn\cluster\_kmeans.py:623(_kmeans_single_lloyd)
    40960    0.366    0.000    0.565    0.000 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\projection\spaces.py:127(project_up)
185356/185339    0.288    0.000    0.976    0.000 C:\Python312\Lib\site-packages\torch\_tensor.py:33(wrapped)
    61440    0.259    0.000    0.259    0.000 {built-in method torch.clamp}
    10240    0.222    0.000   12.790    0.001 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\dynamics\integrator.py:80(compute_forces)
    10240    0.205    0.000   12.995    0.001 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\dynamics\integrator.py:106(velocity_field)
     4518    0.201    0.000    0.201    0.000 {built-in method nt._getfinalpathname}
    20480    0.192    0.000    0.798    0.000 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\dynamics\coupling.py:56(bottom_up_force)
   577917    0.189    0.000    0.189    0.000 C:\Python312\Lib\site-packages\torch\nn\modules\module.py:1927(__getattr__)
    61440    0.178    0.000    0.178    0.000 {method 't' of 'torch._C.TensorBase' objects}
    20480    0.175    0.000    0.527    0.000 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\dynamics\coupling.py:87(top_down_force)
    30720    0.168    0.000    1.564    0.000 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\dynamics\coupling.py:142(total_force)
    20652    0.145    0.000    0.223    0.000 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\projection\spaces.py:107(project_down)
     1182    0.133    0.000    0.133    0.000 {built-in method marshal.loads}
     2560    0.126    0.000    0.341    0.000 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\dynamics\integrator.py:68(_compute_convergence_fraction)
     1182    0.114    0.000    0.249    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
   2404/0    0.105    0.000    0.000          {built-in method builtins.exec}
     9216    0.089    0.000    0.089    0.000 {built-in method torch._C._linalg.linalg_vector_norm}
       85    0.076    0.001   13.931    0.164 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\dynamics\integrator.py:172(integrate)
    20504    0.071    0.000    0.071    0.000 {built-in method torch.zeros_like}
    61624    0.065    0.000    0.132    0.000 C:\Python312\Lib\site-packages\torch\nn\modules\container.py:615(_get_abs_string_index)
   230892    0.064    0.000    0.084    0.000 {built-in method builtins.getattr}
  258/257    0.062    0.000    0.006    0.000 {method 'read' of '_io.TextIOWrapper' objects}
     4427    0.062    0.000    0.062    0.000 {built-in method nt.stat}
    61620    0.061    0.000    0.254    0.000 C:\Python312\Lib\site-packages\torch\nn\modules\container.py:632(__getitem__)
     1182    0.060    0.000    0.060    0.000 {built-in method _io.open_code}
223565/223212    0.053    0.000    0.070    0.000 {built-in method builtins.len}
     9216    0.051    0.000    0.145    0.000 C:\Python312\Lib\site-packages\torch\functional.py:1698(norm)
     1188    0.043    0.000    0.043    0.000 {method 'read' of '_io.BufferedReader' objects}
233450/227736    0.042    0.000    0.056    0.000 {built-in method builtins.isinstance}
     7382    0.040    0.000    0.061    0.000 <frozen importlib._bootstrap_external>:96(_path_join)


