         1699758 function calls (1674684 primitive calls) in 2.277 seconds

   Ordered by: cumulative time
   List reduced from 5781 to 40 due to restriction <40>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    32/22    0.000    0.000   12.358    0.562 C:\Python312\Lib\site-packages\torch\_ops.py:316(fallthrough)
    25/20    0.000    0.000    2.805    0.140 C:\Python312\Lib\site-packages\torch\_ops.py:296(py_impl)
        3    0.000    0.000    1.869    0.623 C:\Python312\Lib\site-packages\torch\_ops.py:161(py_functionalize_impl)
        3    0.000    0.000    0.938    0.313 C:\Python312\Lib\site-packages\torch\_ops.py:268(__init__)
        1    0.000    0.000    0.918    0.918 C:\Python312\Lib\site-packages\torch\_higher_order_ops\triton_kernel_wrap.py:797(__init__)
       18    0.001    0.000    0.518    0.029 C:\Python312\Lib\site-packages\torch\_prims\__init__.py:356(<genexpr>)
        7    0.000    0.000    0.486    0.069 C:\Python312\Lib\site-packages\torch\_inductor\inductor_prims.py:18(make_prim)
        7    0.000    0.000    0.486    0.069 C:\Python312\Lib\site-packages\torch\_prims\__init__.py:267(_make_prim)
        1    0.000    0.000    0.481    0.481 C:\Python312\Lib\site-packages\torch\_dynamo\exc.py:1(<module>)
        1    0.000    0.000    0.478    0.478 C:\Python312\Lib\site-packages\torch\_dynamo\utils.py:1(<module>)
        1    0.008    0.008    0.461    0.461 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\training\trainer.py:94(train)
       90    0.002    0.000    0.440    0.005 C:\Python312\Lib\site-packages\torch\library.py:293(impl)
4962/4742    0.003    0.000    0.434    0.000 {built-in method builtins.any}
        1    0.000    0.000    0.430    0.430 C:\Python312\Lib\site-packages\torch\fx\experimental\symbolic_shapes.py:1(<module>)
        1    0.000    0.000    0.429    0.429 C:\Python312\Lib\site-packages\torch\distributed\fsdp\__init__.py:1(<module>)
        8    0.000    0.000    0.415    0.052 C:\Python312\Lib\site-packages\torch\_library\custom_ops.py:145(inner)
        1    0.000    0.000    0.403    0.403 C:\Python312\Lib\site-packages\torch\distributed\fsdp\_fully_shard\__init__.py:1(<module>)
        1    0.000    0.000    0.403    0.403 C:\Python312\Lib\site-packages\torch\distributed\fsdp\_fully_shard\_fully_shard.py:1(<module>)
        1    0.000    0.000    0.402    0.402 C:\Python312\Lib\site-packages\torch\utils\_sympy\functions.py:1(<module>)
        1    0.000    0.000    0.388    0.388 C:\Python312\Lib\site-packages\sympy\__init__.py:1(<module>)
        1    0.000    0.000    0.355    0.355 C:\Python312\Lib\site-packages\torch\distributed\fsdp\_fully_shard\_fsdp_init.py:1(<module>)
        1    0.000    0.000    0.354    0.354 C:\Python312\Lib\site-packages\torch\distributed\fsdp\_fully_shard\_fsdp_state.py:1(<module>)
        1    0.000    0.000    0.327    0.327 C:\Python312\Lib\site-packages\torch\distributed\fsdp\_flat_param.py:1(<module>)
        1    0.000    0.000    0.324    0.324 C:\Python312\Lib\site-packages\torch\distributed\fsdp\_fsdp_extensions.py:1(<module>)
        1    0.000    0.000    0.324    0.324 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\model\haml.py:222(fit)
        1    0.000    0.000    0.324    0.324 C:\Python312\Lib\site-packages\torch\distributed\fsdp\_shard_utils.py:1(<module>)
        1    0.000    0.000    0.323    0.323 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\model\haml.py:138(_initialize_architecture)
        1    0.000    0.000    0.322    0.322 C:\Python312\Lib\site-packages\torch\distributed\tensor\__init__.py:1(<module>)
        1    0.000    0.000    0.322    0.322 C:\Python312\Lib\site-packages\torch\distributed\tensor\_ops\__init__.py:1(<module>)
        3    0.001    0.000    0.318    0.106 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\dynamics\level.py:56(initialize_attractors)
       10    0.000    0.000    0.315    0.032 C:\Users\fredm\AppData\Roaming\Python\Python312\site-packages\sklearn\base.py:1372(wrapper)
        6    0.001    0.000    0.311    0.052 C:\Users\fredm\AppData\Roaming\Python\Python312\site-packages\sklearn\cluster\_kmeans.py:1426(fit)
        7    0.000    0.000    0.304    0.043 C:\Python312\Lib\site-packages\torch\_library\custom_ops.py:48(custom_op)
        1    0.000    0.000    0.298    0.298 C:\Python312\Lib\site-packages\torch\distributed\tensor\_ops\_conv_ops.py:1(<module>)
     1164    0.009    0.000    0.286    0.000 <frozen importlib._bootstrap_external>:1062(get_code)
        1    0.000    0.000    0.273    0.273 C:\Python312\Lib\site-packages\torch\distributed\tensor\_dtensor_spec.py:1(<module>)
        1    0.000    0.000    0.271    0.271 C:\Python312\Lib\site-packages\torch\distributed\tensor\placement_types.py:1(<module>)
    18/16    0.000    0.000    0.259    0.016 C:\Python312\Lib\site-packages\torch\_subclasses\fake_impls.py:107(contains_tensor_types)
        1    0.000    0.000    0.250    0.250 C:\Python312\Lib\site-packages\torch\_functorch\_activation_checkpointing\graph_info_provider.py:1(<module>)
        1    0.000    0.000    0.249    0.249 C:\Python312\Lib\site-packages\networkx\__init__.py:1(<module>)


