         1699758 function calls (1674684 primitive calls) in 2.277 seconds

   Ordered by: internal time
   List reduced from 5781 to 40 due to restriction <40>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        4    0.244    0.061    0.244    0.061 {method 'run_backward' of 'torch._C._EngineBase' objects}
     4516    0.148    0.000    0.148    0.000 {built-in method nt._getfinalpathname}
       60    0.133    0.002    0.148    0.002 C:\Users\fredm\AppData\Roaming\Python\Python312\site-packages\sklearn\cluster\_kmeans.py:623(_kmeans_single_lloyd)
     1164    0.118    0.000    0.118    0.000 {built-in method marshal.loads}
   2386/0    0.096    0.000    0.000          {built-in method builtins.exec}
     2018    0.078    0.000    0.083    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
     1164    0.055    0.000    0.055    0.000 {built-in method _io.open_code}
     4357    0.053    0.000    0.053    0.000 {built-in method nt.stat}
  258/257    0.049    0.000    0.005    0.000 {method 'read' of '_io.TextIOWrapper' objects}
     1680    0.042    0.000    0.075    0.000 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\dynamics\attractor.py:81(repulsion_force)
     1680    0.041    0.000    0.075    0.000 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\dynamics\attractor.py:62(attraction_force)
     1170    0.040    0.000    0.040    0.000 {method 'read' of '_io.BufferedReader' objects}
     7259    0.035    0.000    0.053    0.000 <frozen importlib._bootstrap_external>:96(_path_join)
2263/2204    0.032    0.000    0.153    0.000 {built-in method builtins.__build_class__}
   167679    0.028    0.000    0.030    0.000 {built-in method builtins.getattr}
    11052    0.025    0.000    0.025    0.000 {built-in method torch.exp}
      478    0.021    0.000    0.048    0.000 C:\Python312\Lib\site-packages\sympy\core\assumptions.py:614(_prepare_class_assumptions)
     3510    0.019    0.000    0.019    0.000 {built-in method torch.sum}
      420    0.019    0.000    0.173    0.000 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\dynamics\level.py:121(intra_level_force)
      910    0.018    0.000    0.033    0.000 {built-in method _io.open}
     6979    0.017    0.000    0.017    0.000 {method 'pow' of 'torch._C.TensorBase' objects}
132037/131442    0.017    0.000    0.020    0.000 {built-in method builtins.isinstance}
     1164    0.015    0.000    0.135    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
        1    0.014    0.014    0.014    0.014 {built-in method _winapi.CreateProcess}
        1    0.013    0.013    0.041    0.041 C:\Python312\Lib\site-packages\threadpoolctl.py:1042(_find_libraries_with_enum_process_module_ex)
    34284    0.012    0.000    0.013    0.000 {built-in method builtins.hasattr}
     1434    0.012    0.000    0.012    0.000 {method '__exit__' of '_io._IOBase' objects}
      926    0.011    0.000    0.021    0.000 C:\Python312\Lib\importlib\metadata\__init__.py:347(__new__)
     1744    0.011    0.000    0.011    0.000 {built-in method nt._path_exists}
      120    0.011    0.000    0.011    0.000 {built-in method nt.listdir}
     1429    0.010    0.000    0.113    0.000 <frozen importlib._bootstrap_external>:1593(find_spec)
      320    0.010    0.000    0.165    0.001 C:\Python312\Lib\dataclasses.py:921(_process_class)
99145/98774    0.010    0.000    0.010    0.000 {built-in method builtins.len}
    45073    0.009    0.000    0.009    0.000 {method 'startswith' of 'str' objects}
   3853/0    0.009    0.000    0.000          <frozen importlib._bootstrap>:1349(_find_and_load)
       60    0.009    0.000    0.047    0.001 C:\Users\fredm\AppData\Roaming\Python\Python312\site-packages\sklearn\cluster\_kmeans.py:174(_kmeans_plusplus)
     1164    0.009    0.000    0.286    0.000 <frozen importlib._bootstrap_external>:1062(get_code)
     3051    0.009    0.000    0.016    0.000 C:\Python312\Lib\functools.py:35(update_wrapper)
     1189    0.008    0.000    0.141    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
    39458    0.008    0.000    0.008    0.000 {method 'endswith' of 'str' objects}


