         1651599 function calls (1626731 primitive calls) in 2.372 seconds

   Ordered by: internal time
   List reduced from 5829 to 40 due to restriction <40>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1188    0.393    0.000    0.393    0.000 {method 'read' of '_io.BufferedReader' objects}
     4524    0.171    0.000    0.171    0.000 {built-in method nt._getfinalpathname}
       60    0.147    0.002    0.165    0.003 C:\Users\fredm\AppData\Roaming\Python\Python312\site-packages\sklearn\cluster\_kmeans.py:623(_kmeans_single_lloyd)
     1182    0.113    0.000    0.113    0.000 {built-in method marshal.loads}
     1182    0.088    0.000    0.088    0.000 {built-in method _io.open_code}
   2404/0    0.083    0.000    0.000          {built-in method builtins.exec}
     1182    0.081    0.000    0.196    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
        3    0.074    0.025    0.074    0.025 {method 'run_backward' of 'torch._C._EngineBase' objects}
  258/257    0.059    0.000    0.061    0.000 {method 'read' of '_io.TextIOWrapper' objects}
     4427    0.057    0.000    0.057    0.000 {built-in method nt.stat}
      720    0.039    0.000    0.064    0.000 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\dynamics\level_vectorized.py:114(_flat_force)
     7382    0.034    0.000    0.052    0.000 <frozen importlib._bootstrap_external>:96(_path_join)
2271/2212    0.028    0.000    0.137    0.000 {built-in method builtins.__build_class__}
   167759    0.026    0.000    0.028    0.000 {built-in method builtins.getattr}
      478    0.019    0.000    0.044    0.000 C:\Python312\Lib\site-packages\sympy\core\assumptions.py:614(_prepare_class_assumptions)
     1452    0.017    0.000    0.017    0.000 {method '__exit__' of '_io._IOBase' objects}
      910    0.017    0.000    0.031    0.000 {built-in method _io.open}
132485/131865    0.016    0.000    0.019    0.000 {built-in method builtins.isinstance}
        1    0.014    0.014    0.049    0.049 C:\Python312\Lib\site-packages\threadpoolctl.py:1042(_find_libraries_with_enum_process_module_ex)
        1    0.014    0.014    0.014    0.014 {built-in method _winapi.CreateProcess}
     1745    0.012    0.000    0.012    0.000 {built-in method nt._path_exists}
     2184    0.012    0.000    0.012    0.000 {built-in method torch.sum}
    34278    0.011    0.000    0.012    0.000 {built-in method builtins.hasattr}
     1182    0.011    0.000    0.743    0.001 <frozen importlib._bootstrap_external>:1062(get_code)
      926    0.011    0.000    0.020    0.000 C:\Python312\Lib\importlib\metadata\__init__.py:347(__new__)
     1453    0.010    0.000    0.114    0.000 <frozen importlib._bootstrap_external>:1593(find_spec)
      124    0.010    0.000    0.010    0.000 {built-in method nt.listdir}
98880/98527    0.009    0.000    0.010    0.000 {built-in method builtins.len}
    45462    0.009    0.000    0.009    0.000 {method 'startswith' of 'str' objects}
   3871/0    0.009    0.000    0.000          <frozen importlib._bootstrap>:1349(_find_and_load)
      320    0.009    0.000    0.142    0.000 C:\Python312\Lib\dataclasses.py:921(_process_class)
     3061    0.008    0.000    0.015    0.000 C:\Python312\Lib\functools.py:35(update_wrapper)
     1207    0.008    0.000    0.142    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
       60    0.008    0.000    0.042    0.001 C:\Users\fredm\AppData\Roaming\Python\Python312\site-packages\sklearn\cluster\_kmeans.py:174(_kmeans_plusplus)
     2060    0.008    0.000    0.025    0.000 <frozen importlib._bootstrap>:304(acquire)
     2262    0.008    0.000    0.192    0.000 <frozen ntpath>:692(realpath)
    40010    0.007    0.000    0.007    0.000 {method 'endswith' of 'str' objects}
     1289    0.007    0.000    0.016    0.000 C:\Python312\Lib\site-packages\networkx\utils\backends.py:327(__new__)
     8681    0.007    0.000    0.013    0.000 C:\Python312\Lib\tokenize.py:569(_generate_tokens_from_c_tokenizer)
       27    0.007    0.000    0.210    0.008 C:\Python312\Lib\inspect.py:982(getmodule)


