         2585664 function calls (2559122 primitive calls) in 12.926 seconds

   Ordered by: internal time
   List reduced from 5831 to 40 due to restriction <40>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        8    4.473    0.559    4.473    0.559 {method 'run_backward' of 'torch._C._EngineBase' objects}
    20640    1.915    0.000    3.081    0.000 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\dynamics\level_vectorized.py:114(_flat_force)
    61971    0.502    0.000    0.502    0.000 {built-in method torch.sum}
     1188    0.425    0.000    0.425    0.000 {method 'read' of '_io.BufferedReader' objects}
     1182    0.313    0.000    0.313    0.000 {built-in method _io.open_code}
    75897    0.272    0.000    0.272    0.000 {built-in method torch.exp}
     4518    0.272    0.000    0.272    0.000 {built-in method nt._getfinalpathname}
     4427    0.270    0.000    0.270    0.000 {built-in method nt.stat}
    62059    0.222    0.000    0.222    0.000 {method 'pow' of 'torch._C.TensorBase' objects}
    10320    0.212    0.000    3.470    0.000 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\dynamics\level_vectorized.py:188(intra_level_force)
        1    0.191    0.191    9.094    9.094 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\training\trainer.py:98(train)
     1182    0.185    0.000    0.185    0.000 {built-in method marshal.loads}
       60    0.177    0.003    0.209    0.003 C:\Users\fredm\AppData\Roaming\Python\Python312\site-packages\sklearn\cluster\_kmeans.py:623(_kmeans_single_lloyd)
      860    0.170    0.000    4.379    0.005 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\dynamics\integrator.py:139(step_rk4)
    62124    0.160    0.000    0.160    0.000 {method 'unsqueeze' of 'torch._C.TensorBase' objects}
    13760    0.125    0.000    0.204    0.000 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\projection\spaces.py:127(project_up)
     2060    0.115    0.000    0.124    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
   2404/0    0.107    0.000    0.000          {built-in method builtins.exec}
    20640    0.091    0.000    0.091    0.000 {built-in method torch.clamp}
     3440    0.084    0.000    4.132    0.001 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\dynamics\integrator.py:80(compute_forces)
     3440    0.077    0.000    4.209    0.001 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\dynamics\integrator.py:106(velocity_field)
  258/257    0.076    0.000    0.077    0.000 {method 'read' of '_io.TextIOWrapper' objects}
   193301    0.070    0.000    0.070    0.000 C:\Python312\Lib\site-packages\torch\nn\modules\module.py:1927(__getattr__)
     6880    0.066    0.000    0.285    0.000 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\dynamics\coupling.py:56(bottom_up_force)
        1    0.062    0.062    0.063    0.063 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\dynamics\coupling.py:175(verify_coupling_condition_C2)
    20640    0.061    0.000    0.061    0.000 {method 't' of 'torch._C.TensorBase' objects}
     6880    0.060    0.000    0.187    0.000 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\dynamics\coupling.py:87(top_down_force)
     1452    0.058    0.000    0.058    0.000 {method '__exit__' of '_io._IOBase' objects}
    10320    0.058    0.000    0.559    0.000 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\dynamics\coupling.py:142(total_force)
     6908    0.056    0.000    0.086    0.000 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\projection\spaces.py:107(project_down)
      860    0.050    0.000    0.142    0.000 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\dynamics\integrator.py:68(_compute_convergence_fraction)
   187753    0.049    0.000    0.058    0.000 {built-in method builtins.getattr}
     7382    0.048    0.000    0.072    0.000 <frozen importlib._bootstrap_external>:96(_path_join)
2271/2212    0.045    0.000    0.215    0.000 {built-in method builtins.__build_class__}
62092/62075    0.039    0.000    0.279    0.000 C:\Python312\Lib\site-packages\torch\_tensor.py:33(wrapped)
     3096    0.033    0.000    0.033    0.000 {built-in method torch._C._linalg.linalg_vector_norm}
        1    0.030    0.030    0.030    0.030 {built-in method _winapi.CreateProcess}
163643/161473    0.030    0.000    0.038    0.000 {built-in method builtins.isinstance}
      478    0.029    0.000    0.069    0.000 C:\Python312\Lib\site-packages\sympy\core\assumptions.py:614(_prepare_class_assumptions)
     6904    0.029    0.000    0.029    0.000 {built-in method torch.zeros_like}


