         1651226 function calls (1626357 primitive calls) in 1.776 seconds

   Ordered by: cumulative time
   List reduced from 5829 to 40 due to restriction <40>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    32/22    0.000    0.000   10.839    0.493 C:\Python312\Lib\site-packages\torch\_ops.py:316(fallthrough)
    25/20    0.000    0.000    2.459    0.123 C:\Python312\Lib\site-packages\torch\_ops.py:296(py_impl)
        3    0.000    0.000    1.639    0.546 C:\Python312\Lib\site-packages\torch\_ops.py:161(py_functionalize_impl)
        3    0.000    0.000    0.822    0.274 C:\Python312\Lib\site-packages\torch\_ops.py:268(__init__)
        1    0.000    0.000    0.804    0.804 C:\Python312\Lib\site-packages\torch\_higher_order_ops\triton_kernel_wrap.py:797(__init__)
       18    0.001    0.000    0.482    0.027 C:\Python312\Lib\site-packages\torch\_prims\__init__.py:356(<genexpr>)
        7    0.000    0.000    0.451    0.064 C:\Python312\Lib\site-packages\torch\_inductor\inductor_prims.py:18(make_prim)
        7    0.000    0.000    0.451    0.064 C:\Python312\Lib\site-packages\torch\_prims\__init__.py:267(_make_prim)
        1    0.000    0.000    0.408    0.408 C:\Python312\Lib\site-packages\torch\_dynamo\exc.py:1(<module>)
        1    0.000    0.000    0.406    0.406 C:\Python312\Lib\site-packages\torch\_dynamo\utils.py:1(<module>)
4962/4744    0.003    0.000    0.405    0.000 {built-in method builtins.any}
       90    0.002    0.000    0.398    0.004 C:\Python312\Lib\site-packages\torch\library.py:293(impl)
        1    0.000    0.000    0.389    0.389 C:\Python312\Lib\site-packages\torch\distributed\fsdp\__init__.py:1(<module>)
        8    0.000    0.000    0.385    0.048 C:\Python312\Lib\site-packages\torch\_library\custom_ops.py:145(inner)
        1    0.001    0.001    0.368    0.368 C:\Python312\Lib\site-packages\torch\fx\experimental\symbolic_shapes.py:1(<module>)
        1    0.000    0.000    0.365    0.365 C:\Python312\Lib\site-packages\torch\distributed\fsdp\_fully_shard\__init__.py:1(<module>)
        1    0.000    0.000    0.365    0.365 C:\Python312\Lib\site-packages\torch\distributed\fsdp\_fully_shard\_fully_shard.py:1(<module>)
        1    0.000    0.000    0.347    0.347 C:\Python312\Lib\site-packages\torch\utils\_sympy\functions.py:1(<module>)
        1    0.000    0.000    0.338    0.338 C:\Python312\Lib\site-packages\sympy\__init__.py:1(<module>)
        1    0.000    0.000    0.331    0.331 C:\Python312\Lib\site-packages\torch\distributed\fsdp\_fully_shard\_fsdp_init.py:1(<module>)
        1    0.000    0.000    0.330    0.330 C:\Python312\Lib\site-packages\torch\distributed\fsdp\_fully_shard\_fsdp_state.py:1(<module>)
     1182    0.008    0.000    0.317    0.000 <frozen importlib._bootstrap_external>:1062(get_code)
        1    0.000    0.000    0.306    0.306 C:\Python312\Lib\site-packages\torch\distributed\fsdp\_flat_param.py:1(<module>)
        1    0.000    0.000    0.304    0.304 C:\Python312\Lib\site-packages\torch\distributed\fsdp\_fsdp_extensions.py:1(<module>)
        1    0.000    0.000    0.303    0.303 C:\Python312\Lib\site-packages\torch\distributed\fsdp\_shard_utils.py:1(<module>)
        1    0.000    0.000    0.302    0.302 C:\Python312\Lib\site-packages\torch\distributed\tensor\__init__.py:1(<module>)
        1    0.000    0.000    0.302    0.302 C:\Python312\Lib\site-packages\torch\distributed\tensor\_ops\__init__.py:1(<module>)
        7    0.000    0.000    0.283    0.040 C:\Python312\Lib\site-packages\torch\_library\custom_ops.py:48(custom_op)
        1    0.000    0.000    0.282    0.282 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\model\haml.py:285(fit)
        1    0.000    0.000    0.281    0.281 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\model\haml.py:189(_initialize_architecture)
        1    0.000    0.000    0.280    0.280 C:\Python312\Lib\site-packages\torch\distributed\tensor\_ops\_conv_ops.py:1(<module>)
       10    0.000    0.000    0.275    0.028 C:\Users\fredm\AppData\Roaming\Python\Python312\site-packages\sklearn\base.py:1372(wrapper)
        3    0.001    0.000    0.275    0.092 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\dynamics\level_vectorized.py:137(initialize_attractors)
        6    0.001    0.000    0.271    0.045 C:\Users\fredm\AppData\Roaming\Python\Python312\site-packages\sklearn\cluster\_kmeans.py:1426(fit)
    18/16    0.000    0.000    0.241    0.015 C:\Python312\Lib\site-packages\torch\_subclasses\fake_impls.py:107(contains_tensor_types)
        1    0.000    0.000    0.221    0.221 C:\Python312\Lib\site-packages\torch\_functorch\_activation_checkpointing\graph_info_provider.py:1(<module>)
        1    0.000    0.000    0.221    0.221 C:\Python312\Lib\site-packages\networkx\__init__.py:1(<module>)
     1182    0.088    0.000    0.190    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
        1    0.002    0.002    0.186    0.186 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\training\trainer.py:98(train)
       12    0.000    0.000    0.183    0.015 C:\Python312\Lib\site-packages\torch\library.py:187(_register_fake)


