         1651226 function calls (1626357 primitive calls) in 1.776 seconds

   Ordered by: internal time
   List reduced from 5829 to 40 due to restriction <40>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     4524    0.135    0.000    0.135    0.000 {built-in method nt._getfinalpathname}
       60    0.119    0.002    0.134    0.002 C:\Users\fredm\AppData\Roaming\Python\Python312\site-packages\sklearn\cluster\_kmeans.py:623(_kmeans_single_lloyd)
     1182    0.100    0.000    0.100    0.000 {built-in method marshal.loads}
     1182    0.088    0.000    0.190    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
   2404/0    0.079    0.000    0.000          {built-in method builtins.exec}
        3    0.073    0.024    0.073    0.024 {method 'run_backward' of 'torch._C._EngineBase' objects}
  258/257    0.044    0.000    0.004    0.000 {method 'read' of '_io.TextIOWrapper' objects}
     1182    0.043    0.000    0.043    0.000 {built-in method _io.open_code}
     4427    0.042    0.000    0.042    0.000 {built-in method nt.stat}
      720    0.039    0.000    0.065    0.000 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\dynamics\level_vectorized.py:114(_flat_force)
     1188    0.033    0.000    0.033    0.000 {method 'read' of '_io.BufferedReader' objects}
     7382    0.032    0.000    0.049    0.000 <frozen importlib._bootstrap_external>:96(_path_join)
2271/2212    0.028    0.000    0.137    0.000 {built-in method builtins.__build_class__}
   167759    0.026    0.000    0.027    0.000 {built-in method builtins.getattr}
      478    0.020    0.000    0.044    0.000 C:\Python312\Lib\site-packages\sympy\core\assumptions.py:614(_prepare_class_assumptions)
132485/131865    0.016    0.000    0.019    0.000 {built-in method builtins.isinstance}
      910    0.015    0.000    0.029    0.000 {built-in method _io.open}
        1    0.013    0.013    0.040    0.040 C:\Python312\Lib\site-packages\threadpoolctl.py:1042(_find_libraries_with_enum_process_module_ex)
     2184    0.012    0.000    0.012    0.000 {built-in method torch.sum}
    34278    0.011    0.000    0.012    0.000 {built-in method builtins.hasattr}
      926    0.011    0.000    0.020    0.000 C:\Python312\Lib\importlib\metadata\__init__.py:347(__new__)
     1452    0.010    0.000    0.010    0.000 {method '__exit__' of '_io._IOBase' objects}
     1745    0.009    0.000    0.009    0.000 {built-in method nt._path_exists}
     1453    0.009    0.000    0.097    0.000 <frozen importlib._bootstrap_external>:1593(find_spec)
98896/98543    0.009    0.000    0.009    0.000 {built-in method builtins.len}
      320    0.009    0.000    0.137    0.000 C:\Python312\Lib\dataclasses.py:921(_process_class)
    45462    0.009    0.000    0.009    0.000 {method 'startswith' of 'str' objects}
   3871/0    0.009    0.000    0.000          <frozen importlib._bootstrap>:1349(_find_and_load)
      124    0.008    0.000    0.008    0.000 {built-in method nt.listdir}
     1207    0.008    0.000    0.122    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
     3061    0.008    0.000    0.014    0.000 C:\Python312\Lib\functools.py:35(update_wrapper)
     1182    0.008    0.000    0.317    0.000 <frozen importlib._bootstrap_external>:1062(get_code)
     2262    0.007    0.000    0.156    0.000 <frozen ntpath>:692(realpath)
    40014    0.007    0.000    0.007    0.000 {method 'endswith' of 'str' objects}
       60    0.007    0.000    0.038    0.001 C:\Users\fredm\AppData\Roaming\Python\Python312\site-packages\sklearn\cluster\_kmeans.py:174(_kmeans_plusplus)
     2060    0.007    0.000    0.022    0.000 <frozen importlib._bootstrap>:304(acquire)
    15652    0.007    0.000    0.010    0.000 C:\Python312\Lib\site-packages\sympy\multipledispatch\conflict.py:7(supercedes)
       27    0.007    0.000    0.177    0.007 C:\Python312\Lib\inspect.py:982(getmodule)
    42531    0.006    0.000    0.006    0.000 {method 'append' of 'list' objects}
     2734    0.006    0.000    0.006    0.000 {built-in method torch.exp}


